% ARFF file Created by Marsyas (ArffFileSink)
@relation output.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
-48.425913,-48.707979,-39.429997,-53.569471,-52.187606,-53.191040,-79.400955,-66.164659,-53.857576,-74.321655,-71.722329,-66.812334
-18.874277,-26.244078,-37.408449,-36.230689,-42.376756,-43.141750,-38.008744,-42.755263,-43.597553,-18.955614,-36.856011,-29.805581
-22.673467,-18.277813,-30.358683,-33.593397,-30.163312,-32.297306,-33.211690,-41.261899,-39.396406,-39.109285,-34.905613,-29.822574
-24.174893,-25.294081,-32.857424,-27.118676,-39.385818,-36.756789,-30.915045,-41.718928,-39.872666,-21.277430,-48.467702,-26.745982
-23.031107,-32.679417,-31.338681,-30.360770,-33.516444,-30.167731,-30.248975,-43.479043,-37.501405,-28.698615,-46.852424,-38.044982
-23.309565,-28.800418,-28.028683,-34.933156,-27.506344,-38.724961,-31.889641,-38.009619,-40.416888,-25.933709,-40.951949,-21.561070
-28.214867,-23.142359,-33.883148,-37.514119,-39.405825,-36.883006,-30.283132,-48.864512,-50.016849,-33.151121,-51.815470,-30.829153
-19.706360,-33.478133,-41.029201,-30.876297,-36.207144,-43.316511,-26.180311,-45.294459,-59.253469,-51.521275,-57.508436,-36.810559
-24.070077,-22.549161,-32.686774,-29.539426,-36.940926,-36.256546,-26.379941,-45.325990,-48.408937,-43.863589,-54.081980,-37.349201
-24.890481,-24.151328,-30.131729,-34.134399,-39.459348,-36.658352,-36.578712,-29.049445,-26.927316,-33.265145,-50.496523,-31.650571
-23.334712,-29.947512,-30.998497,-30.334943,-44.209157,-35.494614,-33.347245,-35.661210,-44.074249,-30.483042,-52.924425,-35.783403
-15.025136,-26.411485,-25.725174,-27.391979,-32.592176,-28.010807,-37.203573,-27.239253,-28.134049,-27.671776,-45.716134,-45.548219
-12.848091,-18.608206,-22.173436,-23.044537,-20.506749,-14.292644,-27.703898,-23.949556,-34.623743,-29.966270,-44.233913,-43.152156
-14.932777,-18.032134,-18.587856,-27.694445,-32.718046,-22.111436,-24.785476,-24.212476,-25.739755,-30.843939,-42.839664,-27.894139
-16.744765,-19.789345,-16.747690,-15.406911,-22.030449,-21.138259,-16.603183,-21.996842,-25.857271,-26.932779,-34.893320,-21.375640
-13.391319,-21.114974,-19.704151,-18.198070,-25.566819,-29.167652,-17.792749,-12.400953,-26.204903,-21.632486,-42.296215,-21.084523
-9.847780,-25.116167,-12.129774,-10.654851,-32.037889,-27.459979,-14.787159,-14.236229,-13.538582,-27.150661,-40.222156,-10.844883
-8.077016,-25.854782,-21.311981,-18.616344,-30.659640,-27.411507,-20.449405,-17.086570,-14.494710,-25.721251,-41.149137,-5.616905
1.742245,-19.913136,-15.839485,-23.317332,-26.430155,-16.313528,-19.054406,-13.469944,-24.279383,-31.212674,-36.107016,-3.757788
-7.631924,-13.692360,-9.237771,-25.928107,-20.638417,-22.434450,-14.145047,-17.411847,-16.905672,-27.384684,-31.159664,-14.530700
-10.668189,-15.597393,-14.340354,-23.343673,-24.997374,-23.144055,-17.921319,-18.898006,-12.114871,-27.508426,-31.651203,-20.433532
-3.167842,-13.100292,-13.607201,-26.186161,-22.237481,-18.661398,-13.612013,-21.173267,-9.592285,-23.299538,-35.914264,-17.550018
-9.304510,-12.105899,-11.710440,-22.007844,-23.348929,-16.542675,-17.900053,-20.811266,-10.624280,-29.412019,-41.272137,-16.036678
-13.039201,-8.943718,-11.698041,-15.790777,-25.731414,-24.271547,-24.819689,-26.041139,-14.534051,-21.211456,-41.058285,-12.920069
-13.546779,-7.385256,-21.419302,-16.952850,-27.119302,-27.482626,-23.498071,-21.261880,-15.832991,-26.055271,-41.082117,-15.947177
-14.081313,-12.034244,-21.462952,-22.474295,-22.041630,-31.520041,-20.103781,-22.204521,-12.310389,-28.754821,-39.076116,-17.104321
-14.433499,-13.150045,-22.893475,-19.440618,-24.229008,-32.245637,-21.126404,-25.675331,-10.579303,-25.718288,-43.586678,-16.428421
-13.059051,-6.703893,-24.686765,-19.149597,-25.443245,-23.258570,-24.749624,-25.663724,-10.314041,-29.829671,-33.953512,-23.233405
-14.138204,-15.221730,-24.857340,-19.231645,-20.527069,-24.240703,-20.760744,-32.916491,-15.881332,-26.358280,-43.237462,-26.401745
-14.364393,-15.866553,-22.224652,-18.051212,-24.510072,-34.212306,-27.904123,-31.350333,-25.040091,-33.958302,-37.744296,-27.169138
-20.391237,-15.011578,-19.570248,-20.361966,-22.584672,-30.196572,-21.160689,-33.362934,-18.796392,-31.766110,-36.762777,-25.620704
-16.466410,-15.720621,-22.649873,-17.079395,-22.871505,-35.527945,-22.128975,-38.012839,-24.212433,-35.218147,-37.953653,-27.589579
-18.581369,-12.430183,-19.326452,-26.028049,-23.924134,-30.065806,-16.961009,-32.918889,-21.995182,-34.142271,-43.528333,-26.366149
-18.574442,-13.973103,-23.159487,-29.261372,-26.402498,-34.061325,-30.570192,-32.437749,-33.189485,-37.610508,-47.155959,-34.211743
-27.650678,-16.869972,-27.963662,-28.419941,-28.369711,-35.453367,-34.118973,-36.802037,-32.488333,-35.635377,-38.259949,-35.513610
-24.940063,-20.365250,-28.837048,-31.714355,-29.220107,-36.485481,-32.257943,-44.137856,-29.521836,-35.206656,-43.299030,-31.270506
-26.458389,-20.653142,-27.134046,-27.314784,-27.381052,-32.862621,-30.822314,-34.439940,-34.851691,-32.020713,-39.439809,-36.853487
-31.871900,-17.478626,-30.539584,-29.804844,-25.991466,-39.403847,-33.571650,-43.904527,-39.968154,-35.553380,-45.928271,-33.234697
-30.344666,-21.041344,-31.653040,-31.976459,-26.561012,-37.748053,-36.752306,-42.516661,-36.369284,-38.572796,-48.654539,-35.284776
-25.136443,-27.691552,-33.958295,-34.001503,-29.054981,-29.977443,-32.880810,-48.245102,-50.961660,-41.270216,-50.933009,-30.258721
-24.386068,-32.100981,-30.375276,-34.451020,-35.145863,-39.071968,-27.340035,-48.274167,-36.633287,-39.349649,-48.118831,-40.758825
-21.739885,-28.036213,-27.680265,-27.300342,-25.837206,-34.568319,-28.353933,-46.603548,-29.560202,-40.513125,-44.431061,-40.627478
-27.239179,-25.452314,-23.766093,-34.501248,-30.423667,-32.065405,-33.163262,-32.093571,-36.562089,-39.899633,-40.868630,-43.717992
-29.684298,-26.586581,-23.935016,-25.393151,-27.067454,-34.789807,-23.010478,-36.133339,-37.362471,-41.246280,-51.636175,-37.495250
-26.498165,-25.078707,-26.673494,-22.831614,-26.290003,-33.851260,-26.868297,-36.127753,-40.400413,-40.209050,-36.380549,-39.793735
-28.441133,-21.780996,-21.575716,-21.519197,-16.974649,-28.487653,-27.160295,-36.933139,-31.829241,-31.160202,-23.948599,-30.224185
