% ARFF file Created by Marsyas (ArffFileSink)
@relation result/result.arff
@attribute Chroma_0 real
@attribute Chroma_1 real
@attribute Chroma_2 real
@attribute Chroma_3 real
@attribute Chroma_4 real
@attribute Chroma_5 real
@attribute Chroma_6 real
@attribute Chroma_7 real
@attribute Chroma_8 real
@attribute Chroma_9 real
@attribute Chroma_10 real
@attribute Chroma_11 real

@data
-0.007178,0.010745,-0.006694,-0.021051,-0.011378,-0.000633,-0.029955,0.013461,0.015696,0.006590,0.023946,-0.011599
-0.023391,0.016857,0.024784,0.010136,-0.044270,0.032428,0.027549,-0.026388,0.022501,0.066337,-0.002796,-0.029621
-0.017245,-0.056533,0.078635,-0.036796,0.113338,-0.026429,0.023733,-0.006889,-0.081278,0.011488,-0.075713,0.009280
-0.107576,0.058594,-0.051715,-0.083109,-0.222435,-0.021782,0.048105,0.071569,0.038165,0.045921,-0.034876,-0.043979
0.181877,-0.114526,0.060447,-0.144213,0.122709,0.215397,-0.134458,0.037143,0.069704,-0.087270,-0.054750,-0.031985
0.188758,-0.188989,-0.015266,-0.092207,-0.192227,0.040140,-0.013442,-0.187610,0.036394,0.087979,-0.032363,-0.029302
0.043431,0.180626,-0.331619,-0.059131,0.234522,-0.056580,0.381852,0.332913,0.148692,0.041317,0.022284,0.090898
0.244488,-0.086832,0.099275,-0.387195,0.102893,0.568861,-0.386297,-0.868021,-0.191092,-0.246781,-0.176810,0.548371
0.572180,-0.168470,-0.119694,0.321027,0.192137,-0.027575,0.187662,-0.356375,0.103600,-0.080478,0.104559,0.355938
-1.616250,-0.936528,0.356493,1.818671,1.868874,-1.719664,-0.476650,0.949389,1.749423,0.590614,0.282716,-0.217944
-2.280852,0.271145,1.086411,0.287237,-2.238345,-0.151614,0.538684,-0.417378,0.405703,-1.476241,-0.427895,-0.334098
-1.180065,-0.199090,-3.402753,-1.516693,-2.615675,-0.938644,0.388559,0.222385,-4.960735,-1.326898,-0.308638,-1.222680
0.805909,-3.382347,1.544755,0.056383,2.737412,-0.296058,-2.646558,-1.170204,0.869908,4.143306,0.536531,0.722795
3.760180,4.669078,3.904137,-2.378909,-2.277932,4.289982,3.465107,6.805616,6.246297,1.817029,-0.594396,-1.204347
-1.401283,0.168091,-8.163576,4.161474,2.034758,0.618641,-2.112953,-3.100622,-5.756712,-1.706352,-0.346718,0.852521
5.509269,-7.332022,8.991748,-3.485703,-3.210838,-0.850583,0.154846,-5.283092,-3.464546,-1.717824,0.266723,-0.034079
2.645188,4.687398,-2.854673,-0.716811,-1.626954,-1.187671,2.786861,9.236092,8.494276,4.311513,0.257920,-0.076156
-2.620733,1.567230,-6.172372,6.937878,6.236241,-0.898533,-7.342722,-6.081525,1.880479,0.257231,-0.351649,-0.258380
4.801689,-5.238712,13.387549,-0.845447,-7.351183,3.564814,10.551286,-1.724714,-6.557740,-2.258669,-0.721621,-4.600372
-8.497095,-4.709469,-13.173013,-4.254296,-9.968788,-11.010623,-12.201325,3.760898,-4.216507,-0.443734,-0.799702,-1.632008
15.926006,2.178186,-0.264889,0.309208,1.647839,8.816524,9.831299,2.504479,7.033983,2.050763,1.352850,-5.232911
10.958092,9.614859,8.474101,-4.762757,-8.126727,5.141460,-3.069470,2.399729,-2.422827,15.903286,-4.478889,-2.837465
11.809109,-16.316898,-14.737393,2.763806,-3.389211,15.664354,-1.429844,-1.707071,-11.562387,-12.279689,4.037279,-4.107459
30.736473,-0.048083,8.878164,-25.778973,-16.123137,4.209775,14.262288,-12.373169,-3.098015,7.507191,-3.603538,1.468796
29.592074,18.854090,-11.377154,9.163166,18.390663,10.589418,-16.114423,9.841154,8.096915,-4.480237,0.959014,0.044411
24.594838,-15.807006,16.453593,-1.230600,-0.485135,13.315305,30.288224,-37.815660,-3.005814,5.988962,1.163718,8.826760
6.112425,0.793813,-11.037015,-21.794121,-6.846345,15.908011,-18.547467,-23.693548,-11.485860,-19.270456,-0.571873,3.618073
14.659810,5.909125,-13.274141,13.297533,32.271884,-24.566093,22.110667,-7.964711,3.927003,-18.298199,1.325315,12.616794
-41.154941,-1.928881,44.183850,-2.579219,8.820506,9.432676,-3.217456,-48.315479,21.114173,2.403531,0.985954,7.745741
-29.995795,-5.507595,-56.517367,2.883715,-5.515905,-23.701213,6.853425,-7.154436,-20.177638,-39.414030,-1.615228,3.350400
-56.645885,-5.447407,9.044599,-2.067457,33.110919,2.683569,10.121459,-26.421813,-22.138690,12.153073,2.787260,11.434599
-69.913406,10.273376,50.965894,-8.554053,-2.013055,-20.571308,-12.427171,6.596834,35.816115,-24.497287,-2.029011,0.327010
-60.817463,1.406094,-97.473715,28.177791,18.297199,7.083873,29.131241,17.545495,-8.540248,7.524764,3.469770,8.986825
-70.613483,-5.219697,68.529925,-11.781905,28.201914,-11.732583,-30.679726,-4.868727,-20.867521,-0.823992,-3.072980,0.058224
-42.064675,4.463161,14.799377,4.955852,-15.564203,13.951142,36.736351,43.163193,10.801803,-4.395339,3.869595,2.264011
-103.046528,-2.782033,-99.057951,15.916475,26.070840,-31.532468,-37.416972,36.166866,19.352007,22.818778,0.570717,6.762992
7.486261,13.898329,103.289771,25.439950,36.088331,22.033521,22.048047,30.320065,7.791693,3.229857,2.943597,-11.688061
-66.229047,-6.976172,-15.419121,-2.592663,-56.597315,-18.985781,-7.662243,56.427462,-25.680023,22.231875,-7.560257,-9.008779
-61.404807,-38.508944,-104.410871,12.395030,31.133226,-9.397983,-32.864479,33.595672,10.687675,-12.760699,13.664893,-11.644675
89.317263,56.396043,131.382005,-25.605989,-35.442939,10.855438,45.161372,83.046419,14.567763,72.149781,-16.240968,-15.067457
-12.069291,3.689206,-82.570559,40.235850,-1.974600,46.571736,-62.692221,37.746552,-22.698945,4.366555,8.880842,-8.530978
90.143312,-60.804967,-19.338487,-44.646353,-23.658039,19.320597,40.467394,-15.905304,-18.348968,22.559962,2.750948,1.425705
117.481705,83.036815,90.048776,0.056500,19.244701,19.131981,-30.857623,130.325746,64.417213,33.661193,-9.962719,-8.459438
26.187708,-22.158983,-55.987020,59.396341,-10.821415,-7.160964,2.710843,-107.040057,-34.595396,-39.866686,15.776168,18.895167
85.907108,-17.816294,-13.767165,-49.371338,-22.258288,11.650796,1.912674,-5.932854,-6.038651,38.492264,-12.303724,-9.924411
120.551482,25.322564,65.504771,37.543718,10.312705,-40.860078,-9.614433,71.894811,39.303888,-30.284519,7.397508,1.534797
-102.538301,4.009801,-31.306967,-12.612939,-19.542808,16.725907,6.963695,-179.736095,-22.281689,-27.258669,-0.062206,8.701163
75.395603,1.252492,-76.820785,-6.786861,-20.156578,-67.115875,-2.386227,84.290102,-22.156794,12.851287,-7.511371,-15.723535
137.813656,7.750370,115.203068,3.686037,-3.700576,65.764651,15.147750,-36.078007,-2.499197,-14.530293,2.279826,16.841529
-158.306451,25.821495,-33.456085,-66.328231,-6.909344,-22.976873,-4.363701,-122.328641,19.296722,-2.370653,4.292341,1.894060
109.530699,19.514308,-110.282022,76.423453,56.535614,16.628278,32.185224,100.397908,-18.027569,-3.452131,-3.765298,25.152383
40.244339,4.590692,226.703088,-37.715170,-11.822516,-22.560980,-16.528002,-140.873829,19.444849,-27.984327,3.158804,13.161647
-178.016967,14.081077,-128.859043,14.306482,-9.169118,-30.365860,48.973278,-9.016825,16.949262,-29.034171,4.898793,-7.393295
17.054294,0.231733,-88.725993,51.400379,72.796156,-62.411136,-17.759452,18.519020,-7.594440,-1.095625,-0.545206,18.696990
-102.800060,3.526092,283.459502,-85.369123,-62.252141,6.549064,29.018515,-107.683658,-30.186426,-14.575820,-5.381815,-26.595965
-150.998588,38.327465,-314.990970,58.743691,-32.082606,-48.563008,9.859685,141.095662,18.693307,30.207347,0.768522,-6.204973
135.656795,-2.044390,107.481713,-44.713292,81.217583,84.908847,6.068633,-56.911511,-19.433725,7.422307,8.159024,-4.393332
-145.967466,36.245706,185.871767,-40.874131,-69.545652,-25.312237,7.449002,16.224093,-1.469888,34.063346,-18.950807,-4.504480
-43.750504,-13.641953,-316.089227,75.284824,39.965573,42.784982,-2.501890,162.613092,29.640443,30.755833,26.620481,9.146223
228.675924,67.455628,231.908440,-32.503974,-2.091595,8.243184,5.753171,-115.057201,2.492214,-4.738239,-13.176411,-5.958680
-178.345681,-6.901080,52.986463,54.709105,3.758854,-26.021500,-30.796256,75.800406,10.556382,17.990083,1.630516,-3.858042
-41.974589,-79.837833,-225.108199,-6.880151,-50.132134,-27.593167,9.723619,97.095022,5.858584,-23.769590,9.261603,-14.925922
165.186868,137.690448,146.990596,-19.978468,-22.385551,-20.817968,-54.732749,-46.744577,-12.432624,61.383301,-10.811614,-23.130801
-23.158155,-44.250472,67.418369,90.331842,-34.680634,51.501851,8.350193,119.864723,-24.407893,5.733768,3.710158,-19.067126
